,station,start_date,end_date,tree_size,nmbr_trees,shingle_size,cod_threshold,mcc,calc_nmbr,phase,r_time,a_type
491,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,150,3,90,0.4100002731326622,31170554,1,252.76646320819856,phase_dif
492,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,1,90,0.4413662566326618,55641822,1,103.26687821547189,phase_dif
493,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,100,5,110,0.4500275794962752,42388808,1,295.55445291996,phase_dif
494,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,150,5,100,0.41582531550650254,7346454,1,262.38418186903,phase_dif
495,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,150,1,120,0.4816292379794614,60697636,1,218.6005688905716,phase_dif
496,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,200,3,50,0.25936144454758503,98693426,1,179.18582508961362,phase_dif
497,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,100,3,70,0.4617716314478184,85128739,1,330.85590816338856,phase_dif
498,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,200,5,50,0.26224767780812464,39949437,1,181.70130189259845,phase_dif
499,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,1,590,0.0,20104041,2,76.20209830999373,SeasDif
500,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,3,590,0.0,69655155,2,87.21855591932932,SeasDif
501,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,200,1,150,0.4610804670132127,92615063,1,174.63152313232422,phase_dif
502,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,100,3,90,0.4912448356006578,72666190,1,482.21596268812823,phase_dif
503,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,5,590,0.0,24209955,2,91.6390478014946,SeasDif
504,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,100,5,130,0.4780970604578819,80298250,1,513.1385314424832,phase_dif
505,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,3,50,0.3947687123364068,91716225,1,352.462495191892,phase_dif
506,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,5,100,0.3909612511890875,94040804,1,364.10676054557166,phase_dif
507,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,150,3,80,0.4809324893555699,31568933,1,510.53382534583415,phase_dif
508,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,200,1,130,0.5045108748621687,77543212,1,293.91113603909815,phase_dif
509,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,150,5,80,0.4545742917247414,10887926,1,518.744343984127,phase_dif
510,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,100,1,590,0.0,84768557,2,171.27024784882863,SeasDif
511,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,100,3,590,0.0,72251196,2,185.34399635394414,SeasDif
512,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,100,5,590,0.0,12226559,2,189.20005630254747,SeasDif
513,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,150,1,590,0.0,91222700,2,123.65551528135937,SeasDif
514,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,150,3,590,0.0,69608458,2,130.08766045570374,SeasDif
515,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,150,5,590,0.0,70747168,2,132.96750648021697,SeasDif
516,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,100,1,590,0.0,62298415,2,325.0136232614517,SeasDif
