,station,start_date,end_date,tree_size,nmbr_trees,shingle_size,cod_threshold,mcc,calc_nmbr,phase,r_time,a_type,accuracy
477,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,100,1,50,0.3177470945760457,7877444,1,22.06639379262924,phase_dif,0.9808509574521274
478,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,150,1,40,0.2948254777539323,53704744,1,34.0199954032898,phase_dif,0.975501224938753
479,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,100,1,80,0.4722729414267357,45571993,1,46.59208907286325,phase_dif,0.9864006799660017
480,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,150,1,90,0.4255847386650489,55730201,1,71.35187742710113,phase_dif,0.9868506574671266
481,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,100,3,50,0.2633479594556151,24879274,1,87.3106282154719,phase_dif,0.9613019349032549
482,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,100,1,140,0.4748759088492432,86878572,1,86.7177473028501,phase_dif,0.9897505124743763
483,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,100,5,380,0.2764450901974816,29499483,1,90.73053361177445,phase_dif,0.9932003399830008
484,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,150,3,50,0.25725507829264105,63619219,1,132.8379412929217,phase_dif,0.9585020748962552
485,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,150,5,50,0.2724596206577082,79185748,1,133.86791197458902,phase_dif,0.9747012649367531
486,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,100,1,170,0.4520404770054934,21240083,1,136.85953711271287,phase_dif,0.9886505674716264
487,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,100,3,50,0.40045481692490303,13309825,1,171.2367996374766,phase_dif,0.9700014999250037
488,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,100,5,110,0.42535035687586203,19095318,1,174.3071069041888,phase_dif,0.9858507074646268
489,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,150,1,120,0.4280275898312995,62290024,1,132.08476094404855,phase_dif,0.9874506274686266
490,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,200,1,50,0.32512334324621794,1098905,1,46.597988132635756,phase_dif,0.9781010949452528
491,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,150,3,90,0.4100002731326622,31170554,1,252.76646320819856,phase_dif,0.9846007699615019
492,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,1,90,0.4413662566326618,55641822,1,103.26687821547188,phase_dif,0.9881005949702515
493,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,100,5,110,0.4500275794962752,42388808,1,295.55445291996,phase_dif,0.984450777461127
494,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,150,5,100,0.41582531550650254,7346454,1,262.38418186903,phase_dif,0.9850007499625019
495,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,150,1,120,0.4816292379794614,60697636,1,218.6005688905716,phase_dif,0.9834008299585021
496,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,200,3,50,0.25936144454758503,98693426,1,179.18582508961362,phase_dif,0.9740012999350033
497,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,100,3,70,0.4617716314478184,85128739,1,330.85590816338856,phase_dif,0.9776011199440028
498,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,5000,200,5,50,0.26224767780812464,39949437,1,181.70130189259842,phase_dif,0.9623518824058797
499,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,1,590,0.0,20104041,2,76.20209830999373,SeasDif,0.999750012499375
500,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,3,590,0.0,69655155,2,87.21855591932932,SeasDif,0.9996000199990001
501,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,200,1,150,0.4610804670132127,92615063,1,174.63152313232422,phase_dif,0.9902004899755013
502,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,100,3,90,0.4912448356006578,72666190,1,482.21596268812823,phase_dif,0.9814509274536273
503,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,100,5,590,0.0,24209955,2,91.6390478014946,SeasDif,0.99990000499975
504,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,100,5,130,0.4780970604578819,80298250,1,513.1385314424832,phase_dif,0.9845507724613769
505,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,3,50,0.3947687123364068,91716225,1,352.462495191892,phase_dif,0.9775511224438778
506,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,10000,200,5,100,0.3909612511890875,94040804,1,364.10676054557166,phase_dif,0.9850007499625019
507,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,150,3,80,0.4809324893555699,31568933,1,510.5338253458342,phase_dif,0.9801009949502525
508,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,200,1,130,0.5045108748621687,77543212,1,293.91113603909815,phase_dif,0.9877006149692515
509,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,150,5,80,0.4545742917247414,10887926,1,518.744343984127,phase_dif,0.9774511274436278
510,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,100,1,590,0.0,84768557,2,171.27024784882863,SeasDif,0.99950002499875
