,station,start_date,tree_size,number_of_trees,shingle_size,anomaly_score_threshold,mathews_correlation_coefficient,runtime,accuracy
51,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,10000,100,3,590,0,174.519893308481,0.998550072496375
52,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,20000,100,5,590,0,516.879320291678,0.995850207489626
53,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,10000,200,3,590,0,369.000611150265,0.998250087495625
54,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,10000,150,5,590,0,269.550466104348,0.99830008499575
55,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,100,3,590,0,87.8334428310394,0.99910004499775
56,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,100,1,590,0,76.2020983099937,0.999750012499375
57,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,100,3,590,0,87.2185559193293,0.999600019999
58,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,10000,150,3,590,0,272.382451057434,0.998250087495625
59,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,200,3,590,0,177.45350716114,0.999150042497875
60,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,100,5,590,0,91.6390478014946,0.99990000499975
61,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,200,1,590,0,151.887159180641,0.999200039998
62,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,20000,100,1,590,0,485.71281340917,0.99870006499675
63,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,20000,100,3,590,0,430.172772018115,0.995750212489376
64,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,10000,150,1,590,0,254.364298133055,0.998950052497375
65,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,10000,100,1,590,0,171.270247848829,0.99950002499875
66,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,15000,100,5,590,0,349.868303414186,0.99770011499425
67,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,100,5,590,0,91.1103244026502,0.999250037498125
68,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,150,5,70,0.031700237590453,132.329549022516,0.957102144892755
69,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,200,5,80,0.03482369012525,181.854501354694,0.96045197740113
70,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,100,3,80,0.038891877365332,88.9805324912071,0.968051597420129
71,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,150,3,90,0.043110235054013,126.121118950844,0.975651217439128
72,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,100,5,120,0.047201887920237,90.6078074256579,0.979501024948753
73,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,200,3,110,0.049881840077759,174.714914460977,0.980350982450878
74,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,100,5,150,0.049881840077759,180.233283948898,0.981150942452877
75,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,200,5,170,0.052830399736928,395.459556420644,0.982950852457377
76,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,150,3,180,0.060675611663553,258.032544000944,0.987200639968001
77,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,100,3,190,0.063235950416683,173.375880197684,0.988050597470126
78,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,200,3,210,0.065415753295523,371.998453354836,0.988500574971251
79,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,150,5,270,0.071079504207383,270.111645507813,0.990600469976501
80,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,200,5,330,0.073994176267778,735.471885363261,0.991450427478626
81,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,100,5,330,0.075263347178899,338.071575280031,0.991350432478376
82,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,100,3,320,0.076828891515032,487.434452835719,0.991650417479126
83,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,150,5,330,0.077530052824109,530.092041059335,0.992050397480126
84,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,200,3,260,0.078991282060171,688.16059405009,0.992100394980251
85,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,200,5,420,0.082460035982569,1079.08216768901,0.992800359982001
86,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,150,5,430,0.083621801187267,795.358447464307,0.992950352482376
87,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,100,1,140,0.083621801187267,77.3881888747215,0.993250337483126
88,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,150,3,360,0.085144788663173,774.101627568404,0.993200339983001
89,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,150,3,320,0.085459398684577,520.387070755164,0.993250337483126
90,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,100,1,150,0.085777489924675,160.022950184345,0.993300334983251
91,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,100,3,350,0.09063595331356,317.208441758156,0.994000299985001
92,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,100,5,530,0.098281347675797,489.2264721632,0.994900254987251
93,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,150,1,190,0.102902039762261,118.943225705624,0.995350232488376
94,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,150,1,230,0.105766331381648,241.65420606931,0.99570021498925
95,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,5000,200,1,210,0.111582368678927,153.791363608837,0.996150192490376
96,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,10000,200,1,330,0.141248008835523,343.289990754922,0.997650117494125
97,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,100,1,590,0.171357040398455,483.12489473025,0.998350082495875
98,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,200,1,580,0.173938338081475,660.614623637994,0.998400079996
99,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,150,1,590,0.179470547498343,475.445613062382,0.998550072496375
100,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,20000,150,1,580,0.179470547498343,632.377118472258,0.99850007499625
101,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,15000,100,1,590,0.218108753999991,298.827657564481,0.9990000499975
