,0
10,0.6429681871611115
15,0.7838228893924429
20,0.8469814764295346
25,0.8825941253272903
30,0.905642301777529
35,0.9223612644871112
40,0.9347348068838169
45,0.9439682378297191
50,0.9512343174787568
55,0.9569766478119051
60,0.9613113304066343
65,0.9649316191908526
70,0.9680381752724445
75,0.9706977738361403
80,0.9729446413585362
85,0.974908301564788
90,0.9768951149757953
95,0.978580601171284
100,0.9800060332553844
105,0.9812120132248423
110,0.9823139715497451
115,0.9833260014851605
120,0.984207836588036
125,0.984965181271137
130,0.9857033993937888
135,0.9864036999492307
140,0.9870103810245724
145,0.9875479380393402
150,0.9880314709096765
155,0.9884851395014143
160,0.9889032394017881
165,0.9892689929261926
170,0.989642799739208
175,0.9899666090520978
180,0.9902924316871403
185,0.9906024832986535
190,0.990904817175249
195,0.9911809778638586
200,0.9914282809349471
205,0.9916893417074117
210,0.9919047671777482
215,0.9920983816580983
220,0.992281929527685
225,0.9924557463402001
230,0.9926366097802496
235,0.9928154598981458
240,0.9929785389925131
245,0.9931419536405729
250,0.9932802017617242
255,0.9934265031714864
260,0.9935593824335633
265,0.9936852150681059
270,0.9937996388771164
275,0.9939211093136616
280,0.9940311709246752
285,0.9941368703376915
290,0.994232167586252
295,0.9943371958918837
300,0.9944351775699806
305,0.994523092637315
310,0.9946133565804927
315,0.9946928828055239
320,0.9947761001211683
325,0.9948465663965125
330,0.9949304548195406
335,0.9950072966150351
340,0.9950834673031452
345,0.995165677957713
350,0.9952354731256731
355,0.9952995638808675
360,0.9953552657937577
365,0.9954190209952593
370,0.9954814339819924
375,0.9955344514653459
380,0.9955847845191633
385,0.9956354531266731
390,0.9956888061637188
395,0.9957435014155326
400,0.9957961833451955
405,0.9958451741842446
410,0.9958938294696007
415,0.9959394647717283
420,0.9959810734295503
425,0.9960257020706011
430,0.9960689884968845
435,0.9961112682620906
440,0.9961535480272968
445,0.9961907944871217
450,0.9962246854100247
455,0.9962619318698493
460,0.9963005205444427
465,0.9963367603431906
470,0.9963783690010133
475,0.9964072266185346
480,0.9964344064675961
485,0.99646359963881
490,0.9964964839006368
495,0.9965344014678453
500,0.9965649368538282
505,0.9965907744881213
510,0.9966145988002617
515,0.9966484897231652
520,0.9966733206963809
525,0.9967011716528268
530,0.9967317070388091
535,0.9967568735657174
540,0.9967810334315499
545,0.9968045221899982
550,0.9968280109484462
555,0.9968545196901234
560,0.9968743173579576
565,0.996899148331174
570,0.9969229726433142
575,0.9969454547406856
580,0.9969672657306733
585,0.9969894122743526
590,0.9970108877106477
595,0.9970350475764798
